"repo_path","local_cache_path","size_bytes","sha256"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0022-image24.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0022-image24.bin","457","09b57a19b5e1b9d3b334f08694434dacef73bf38614db8cd4e4b4c740140570c"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0023-image25.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0023-image25.bin","955","7b6925c07e705c404d687b31d07d348829909d6252d9ac41695669814556ee63"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0024-image26.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0024-image26.bin","529","abc5ad871f36d9ad650ea67383e822ca852d382455d641752ffe721fdd39b8b7"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0025-image27.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0025-image27.bin","458","895a6d6b9924a3887c342ccd40d47e86390200db38207e3613722f602708084c"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0026-image28.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0026-image28.bin","1273","e9fb7246e3c47a0eed2222f50e36b89c68efc46b382141c323d6738248291c5b"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0027-image29.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0027-image29.bin","592","f8349b3d407a149fbea0754d95a60d7b11303a4ed08e918d8a0153228a159df1"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0028-image30.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0028-image30.bin","351","bc077773c310783d6fe8cb4c531f7966bb403c2fa49416b0459af2295bac0b67"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0029-image31.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0029-image31.bin","107933","d487812bcb72b50e1a63b491b6af6989142a78ecc22f29316cfadc6a5bac1bad"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0030-image32.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0030-image32.bin","96627","2cca394909d6f4094631e2368eb0bb33d662fd190d6d56209a56147fd5e868dc"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0031-image33.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0031-image33.bin","768","4fc8505f4f126e97176bb9dd9b86da58f18c7a0d902f2e5b16d08a6dfe8e8274"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0032-image34.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0032-image34.bin","1285","4cd9a3882a41be4285ba10a127b4895764d94a6034b0e131dbda2e7c8e737dda"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0033-image35.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0033-image35.bin","639","fe0a40c5a36a4b6cdda6c161d6d7f498c01f393e1d9472379572bf47d8de37ff"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0034-image36.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0034-image36.bin","654","08600a0c0f1ce610449cf78ff1f4f3138a2d2148b791f82447565d98db517999"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0035-image37.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0035-image37.bin","817","452a1ab8376d90f1b19eaee61d517e8ca239a8ef2873278264c6f464bee0ddd3"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0036-image38.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0036-image38.bin","1012","54d013648d7f037dcfd3670818373428f892a93e2f73c0664d199cffc18edf0e"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0037-image39.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0037-image39.bin","9288","9ae4979988873d570994083cd7815cec426b44401c3eb30479b1ab3f9609d881"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0038-image40.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0038-image40.bin","10940","e0c6650fb55456d482ce6c197bd058fca15bfe0d028b7ef0d9c94eef89722280"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0039-image41.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0039-image41.bin","8061","3077b84a8c2e3b661c197b3c8edce883fbed0687388fa4d21e15b71885d5aeff"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0040-image42.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0040-image42.bin","8008","9799dbf2684b029ddc37d6046e92f1beb241560fcaf2e4cbe7a0060fb9d5f48e"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0041-image43.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0041-image43.bin","232","19d3a77b71484925b78d18f649e8258560b88c4e6ab9f0a1c83f4359f596f3fd"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0042-image44.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0042-image44.bin","1306","5a797c443a46e7cd8ee1e6b7199a4d1bd1732c2e203cafbe35eb148ac2526aff"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0043-image45.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0043-image45.bin","1713","b0eb02439b67ad883503ecfdf0f9ac1f3a693605b4f053c57177dd9b235697c9"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0044-image46.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0044-image46.bin","1082","4fdbc658725ca45751ff6e01debaca734a1264dd064f76584dbdc233d5f02b03"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0045-image47.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0045-image47.bin","409","71bfa7aa01571279c4cc486205a935066fe656f637d9b1c9421d640108dc75df"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0046-image48.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0046-image48.bin","392","7b42cca81e630900f1e802347edcf137fd6133ebe8470f77d7126ca6fe21d84e"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0047-image49.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0047-image49.bin","428","f492a3260956422b69ee54f5afb78ec6167bddb97104d4298bb30607ac6f21b0"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0048-image50.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0048-image50.bin","41275","e97d1b0f01c100e35f61e35da60b3f06958bee7c059c18829e1cadfaccaeba05"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0049-image51.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0049-image51.bin","919","9c8fa0b548d0ae936d70cc83992ab56a5d4d3f99575e538ddee131c47c318e65"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0050-image52.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0050-image52.bin","341","1fab64c88811ba3253676cc203182101e80b620ebc097ce70cac2e20d12d3458"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0051-image53.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0051-image53.bin","1122","fae00cd92f12b113212649d80953513982ece9212bc265828fbbae86946b36d2"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0052-image103.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0052-image103.bin","4561","fc9d9c3c9e393dcd724eb6e1dcc29ef767375e5f72e006960940f9d6e36619d8"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0053-image109.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0053-image109.bin","576","6b720981c8897271ef9e1fcd039e5d418550e7f45b452afa6beb6a1e0a2b3c97"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0054-image110.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0054-image110.bin","254","012190d1dd5616fe5f230cd9d299df20b271af6ba86a74633dc3f307b213a245"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0055-image111.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0055-image111.bin","482","120cc78160e0b232b0db8d55d2e1c820bcfab21336258c77a3623ade84673c89"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0056-image112.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0056-image112.bin","901","3d7c2fdee4688c7ad5a1193877b11999328937652eb1e31f913847f7887504f5"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0057-image113.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0057-image113.bin","1357","5af1414e60395719b7f8810a3523e6f9963f4f4a20a9e9aac6cf77ee9afc0b32"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0058-image114.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0058-image114.bin","274","7a76cee6d8b245253fcbea38844660f0b2414b29ee8158b0cbf2abca979c9f3a"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0059-image115.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0059-image115.bin","600","bd11a39269024eb1a9747e3456d91c9e1e053b3b09378d1fad6d4cf3304281a1"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0060-image116.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0060-image116.bin","331","796100334fbfd7fe75937fc7e34dc88bed72b7ba8c24b84d0910375e8f894512"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0061-image117.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0061-image117.bin","337","f446535987c66c3dee9cb482e0d132edc5b1c2b6cc867e0bc023582b99839756"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0062-image118.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0062-image118.bin","286","4910bf5d94539a5402f2457f7fd4ebc02480bb6fa50202dcfd5d62977e4d776a"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0063-image123.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0063-image123.bin","4851","1bfff7454912bfc27cc719742093c04953cdec1ad264ae75291e708597a0d123"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0064-image124.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0064-image124.bin","4720","bc579bcbb2971fbfc766d783f4936c64ddb7c46137846e88165273612b4b53f1"
"reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0065-image125.bin",".local/reference-cache/reference/runs/20260318-ms-oe376-full-detail-pass-01/outputs/docs/discovered-ms-oe376-220816-823374c7/images/img-0065-image125.bin","3551","1cb7287369846624da484ad9ff3153d090292076742bb8b00d7b5b51519aa5c8"
