"function_name","target","stored_formula","display_text","value","parse_status","operation_error"
"CONFIDENCE","Sheet1!C37","","",,"operation_rejected","0x800A03EC"
"CONFIDENCE.NORM","Sheet1!C38","","",,"operation_rejected","0x800A03EC"
"CONFIDENCE.T","Sheet1!C39","","",,"operation_rejected","0x800A03EC"
"CONVERT","Sheet1!C40","","",,"operation_rejected","0x800A03EC"
"COPILOT","Sheet1!D1","=COPILOT(1)","#NAME?","-2146826259","name_error",
"CORREL","Sheet1!D2","","",,"operation_rejected","0x800A03EC"
"COS","Sheet1!D3","=COS(1)","0.540302","0.5403023058681398","recognized_or_runtime_error",
"COSH","Sheet1!D4","=COSH(1)","1.543081","1.5430806348152437","recognized_or_runtime_error",
"COT","Sheet1!D5","=COT(1)","0.642093","0.6420926159343306","recognized_or_runtime_error",
"COTH","Sheet1!D6","=COTH(1)","1.313035","1.3130352854993315","recognized_or_runtime_error",
"COUNT","Sheet1!D7","=COUNT(1)","1","1","recognized_or_runtime_error",
"COUNTA","Sheet1!D8","=COUNTA(1)","1","1","recognized_or_runtime_error",
"COUNTBLANK","Sheet1!D9","","",,"operation_rejected","0x800A03EC"
"COUNTIF","Sheet1!D10","","",,"operation_rejected","0x800A03EC"
"COUNTIFS","Sheet1!D11","","",,"operation_rejected","0x800A03EC"
"COUPDAYBS","Sheet1!D12","","",,"operation_rejected","0x800A03EC"
"COUPDAYS","Sheet1!D13","","",,"operation_rejected","0x800A03EC"
"COUPDAYSNC","Sheet1!D14","","",,"operation_rejected","0x800A03EC"
"COUPNCD","Sheet1!D15","","",,"operation_rejected","0x800A03EC"
"COUPNUM","Sheet1!D16","","",,"operation_rejected","0x800A03EC"
"COUPPCD","Sheet1!D17","","",,"operation_rejected","0x800A03EC"
"COVAR","Sheet1!D18","","",,"operation_rejected","0x800A03EC"
"COVARIANCE.P","Sheet1!D19","","",,"operation_rejected","0x800A03EC"
"COVARIANCE.S","Sheet1!D20","","",,"operation_rejected","0x800A03EC"
"CRITBINOM","Sheet1!D21","","",,"operation_rejected","0x800A03EC"
"CSC","Sheet1!D22","=CSC(1)","1.188395","1.1883951057781212","recognized_or_runtime_error",
"CSCH","Sheet1!D23","=CSCH(1)","0.850918","0.8509181282393216","recognized_or_runtime_error",
"CUBEKPIMEMBER","Sheet1!D24","","",,"operation_rejected","0x800A03EC"
"CUBEMEMBER","Sheet1!D25","","",,"operation_rejected","0x800A03EC"
"CUBEMEMBERPROPERTY","Sheet1!D26","","",,"operation_rejected","0x800A03EC"
"CUBERANKEDMEMBER","Sheet1!D27","","",,"operation_rejected","0x800A03EC"
"CUBESET","Sheet1!D28","","",,"operation_rejected","0x800A03EC"
"CUBESETCOUNT","Sheet1!D29","=CUBESETCOUNT(1)","#N/A","-2146826246","recognized_or_runtime_error",
"CUBEVALUE","Sheet1!D30","=CUBEVALUE(1)","#N/A","-2146826246","recognized_or_runtime_error",
"CUMIPMT","Sheet1!D31","","",,"operation_rejected","0x800A03EC"
"CUMPRINC","Sheet1!D32","","",,"operation_rejected","0x800A03EC"
"DATE","Sheet1!D33","","",,"operation_rejected","0x800A03EC"
"DATEDIF","Sheet1!D34","","",,"operation_rejected","0x800A03EC"
"DATEVALUE","Sheet1!D35","=DATEVALUE(1)","#VALUE!","-2146826273","recognized_or_runtime_error",
"DAVERAGE","Sheet1!D36","","",,"operation_rejected","0x800A03EC"
"DAY","Sheet1!D37","=DAY(1)","1","1","recognized_or_runtime_error",
"DAYS","Sheet1!D38","","",,"operation_rejected","0x800A03EC"
"DAYS360","Sheet1!D39","","",,"operation_rejected","0x800A03EC"
"DB","Sheet1!D40","","",,"operation_rejected","0x800A03EC"
"DBCS","Sheet1!E1","=DBCS(1)","1","1","recognized_or_runtime_error",
"DCOUNT","Sheet1!E2","","",,"operation_rejected","0x800A03EC"
"DCOUNTA","Sheet1!E3","","",,"operation_rejected","0x800A03EC"
"DDB","Sheet1!E4","","",,"operation_rejected","0x800A03EC"
"DEC2BIN","Sheet1!E5","=DEC2BIN(1)","1","1","recognized_or_runtime_error",
"DEC2HEX","Sheet1!E6","=DEC2HEX(1)","1","1","recognized_or_runtime_error",
"DEC2OCT","Sheet1!E7","=DEC2OCT(1)","1","1","recognized_or_runtime_error",
"DECIMAL","Sheet1!E8","","",,"operation_rejected","0x800A03EC"
"DEGREES","Sheet1!E9","=DEGREES(1)","57.29578","57.29577951308232","recognized_or_runtime_error",
"DELTA","Sheet1!E10","=DELTA(1)","0","0","recognized_or_runtime_error",
"DETECTLANGUAGE","Sheet1!E11","=DETECTLANGUAGE(1)","en","en","recognized_or_runtime_error",
"DEVSQ","Sheet1!E12","=DEVSQ(1)","0","0","recognized_or_runtime_error",
"DGET","Sheet1!E13","","",,"operation_rejected","0x800A03EC"
"DISC","Sheet1!E14","","",,"operation_rejected","0x800A03EC"
"DMAX","Sheet1!E15","","",,"operation_rejected","0x800A03EC"
"DMIN","Sheet1!E16","","",,"operation_rejected","0x800A03EC"
"DOLLAR","Sheet1!E17","=DOLLAR(1)","R1.00","R1.00","recognized_or_runtime_error",
"DOLLARDE","Sheet1!E18","","",,"operation_rejected","0x800A03EC"
"DOLLARFR","Sheet1!E19","","",,"operation_rejected","0x800A03EC"
"DPRODUCT","Sheet1!E20","","",,"operation_rejected","0x800A03EC"
"DROP","Sheet1!E21","","",,"operation_rejected","0x800A03EC"
"DSTDEV","Sheet1!E22","","",,"operation_rejected","0x800A03EC"
"DSTDEVP","Sheet1!E23","","",,"operation_rejected","0x800A03EC"
"DSUM","Sheet1!E24","","",,"operation_rejected","0x800A03EC"
"DURATION","Sheet1!E25","","",,"operation_rejected","0x800A03EC"
"DVAR","Sheet1!E26","","",,"operation_rejected","0x800A03EC"
"DVARP","Sheet1!E27","","",,"operation_rejected","0x800A03EC"
"EDATE","Sheet1!E28","","",,"operation_rejected","0x800A03EC"
"EFFECT","Sheet1!E29","","",,"operation_rejected","0x800A03EC"
"ENCODEURL","Sheet1!E30","=ENCODEURL(1)","1","1","recognized_or_runtime_error",
"EOMONTH","Sheet1!E31","","",,"operation_rejected","0x800A03EC"
"ERF","Sheet1!E32","=ERF(1)","0.842701","0.8427007929497149","recognized_or_runtime_error",
"ERF.PRECISE","Sheet1!E33","=ERF.PRECISE(1)","0.842701","0.8427007929497149","recognized_or_runtime_error",
"ERFC","Sheet1!E34","=ERFC(1)","0.157299","0.15729920705028513","recognized_or_runtime_error",
"ERFC.PRECISE","Sheet1!E35","=ERFC.PRECISE(1)","0.157299","0.15729920705028513","recognized_or_runtime_error",
"ERROR.TYPE","Sheet1!E36","=ERROR.TYPE(1)","#N/A","-2146826246","recognized_or_runtime_error",
"EUROCONVERT","Sheet1!E37","=EUROCONVERT(1)","#NAME?","-2146826259","name_error",
"EVEN","Sheet1!E38","=EVEN(1)","2","2","recognized_or_runtime_error",
