"function_name","target","stored_formula","display_text","value","parse_status","operation_error"
"PERCENTILE","Sheet1!J12","","",,"operation_rejected","0x800A03EC"
"PERCENTILE.EXC","Sheet1!J13","","",,"operation_rejected","0x800A03EC"
"PERCENTILE.INC","Sheet1!J14","","",,"operation_rejected","0x800A03EC"
"PERCENTOF","Sheet1!J15","","",,"operation_rejected","0x800A03EC"
"PERCENTRANK","Sheet1!J16","","",,"operation_rejected","0x800A03EC"
"PERCENTRANK.EXC","Sheet1!J17","","",,"operation_rejected","0x800A03EC"
"PERCENTRANK.INC","Sheet1!J18","","",,"operation_rejected","0x800A03EC"
"PERMUT","Sheet1!J19","","",,"operation_rejected","0x800A03EC"
"PERMUTATIONA","Sheet1!J20","","",,"operation_rejected","0x800A03EC"
"PHI","Sheet1!J21","=PHI(1)","0.241971","0.24197072451914337","recognized_or_runtime_error",
"PHONETIC","Sheet1!J22","","",,"operation_rejected","0x800A03EC"
"PI","Sheet1!J23","","",,"operation_rejected","0x800A03EC"
"PIVOTBY","Sheet1!J24","","",,"operation_rejected","0x800A03EC"
"PMT","Sheet1!J25","","",,"operation_rejected","0x800A03EC"
"POISSON","Sheet1!J26","","",,"operation_rejected","0x800A03EC"
"POISSON.DIST","Sheet1!J27","","",,"operation_rejected","0x800A03EC"
"POWER","Sheet1!J28","","",,"operation_rejected","0x800A03EC"
"PPMT","Sheet1!J29","","",,"operation_rejected","0x800A03EC"
"PRICE","Sheet1!J30","","",,"operation_rejected","0x800A03EC"
"PRICEDISC","Sheet1!J31","","",,"operation_rejected","0x800A03EC"
"PRICEMAT","Sheet1!J32","","",,"operation_rejected","0x800A03EC"
"PROB","Sheet1!J33","","",,"operation_rejected","0x800A03EC"
"PRODUCT","Sheet1!J34","=PRODUCT(1)","1","1","recognized_or_runtime_error",
"PROPER","Sheet1!J35","=PROPER(1)","1","1","recognized_or_runtime_error",
"PV","Sheet1!J36","","",,"operation_rejected","0x800A03EC"
"QUARTILE","Sheet1!J37","","",,"operation_rejected","0x800A03EC"
"QUARTILE.EXC","Sheet1!J38","","",,"operation_rejected","0x800A03EC"
"QUARTILE.INC","Sheet1!J39","","",,"operation_rejected","0x800A03EC"
"QUOTIENT","Sheet1!J40","","",,"operation_rejected","0x800A03EC"
"RADIANS","Sheet1!K1","=RADIANS(1)","0.017453","0.017453292519943295","recognized_or_runtime_error",
"RAND","Sheet1!K2","","",,"operation_rejected","0x800A03EC"
"RANDARRA","Sheet1!K3","=RANDARRA(1)","#NAME?","-2146826259","name_error",
"RANDARRAY","Sheet1!K4","=RANDARRAY(1)","0.326221","0.32622133954115595","recognized_or_runtime_error",
"RANDBETWEEN","Sheet1!K5","","",,"operation_rejected","0x800A03EC"
"RANK","Sheet1!K6","","",,"operation_rejected","0x800A03EC"
"RANK.AVG","Sheet1!K7","","",,"operation_rejected","0x800A03EC"
"RANK.EQ","Sheet1!K8","","",,"operation_rejected","0x800A03EC"
"RATE","Sheet1!K9","","",,"operation_rejected","0x800A03EC"
"RECEIVED","Sheet1!K10","","",,"operation_rejected","0x800A03EC"
"REDUCE","Sheet1!K11","","",,"operation_rejected","0x800A03EC"
"REGEXEXTRACT","Sheet1!K12","","",,"operation_rejected","0x800A03EC"
"REGEXREPLACE","Sheet1!K13","","",,"operation_rejected","0x800A03EC"
"REGEXTEST","Sheet1!K14","","",,"operation_rejected","0x800A03EC"
"REGISTER.ID","Sheet1!K15","","",,"operation_rejected","0x800A03EC"
"REPLACE, REPLACEB","Sheet1!K16","","",,"operation_rejected","0x800A03EC"
"REPT","Sheet1!K17","","",,"operation_rejected","0x800A03EC"
"RIGHT, RIGHTB","Sheet1!K18","","",,"operation_rejected","0x800A03EC"
"ROMAN","Sheet1!K19","=ROMAN(1)","I","I","recognized_or_runtime_error",
"ROUND","Sheet1!K20","","",,"operation_rejected","0x800A03EC"
"ROUNDDOWN","Sheet1!K21","","",,"operation_rejected","0x800A03EC"
"ROUNDUP","Sheet1!K22","","",,"operation_rejected","0x800A03EC"
"ROW","Sheet1!K23","","",,"operation_rejected","0x800A03EC"
"ROWS","Sheet1!K24","=ROWS(1)","1","1","recognized_or_runtime_error",
"RRI","Sheet1!K25","","",,"operation_rejected","0x800A03EC"
"RSQ","Sheet1!K26","","",,"operation_rejected","0x800A03EC"
"RTD","Sheet1!K27","","",,"operation_rejected","0x800A03EC"
"SCAN","Sheet1!K28","","",,"operation_rejected","0x800A03EC"
"SEARCH, SEARCHB","Sheet1!K29","","",,"operation_rejected","0x800A03EC"
"SEC","Sheet1!K30","=SEC(1)","1.850816","1.8508157176809255","recognized_or_runtime_error",
"SECH","Sheet1!K31","=SECH(1)","0.648054","0.6480542736638855","recognized_or_runtime_error",
"SECOND","Sheet1!K32","=SECOND(1)","0","0","recognized_or_runtime_error",
"SEQUENCE","Sheet1!K33","=SEQUENCE(1)","1","1","recognized_or_runtime_error",
"SERIESSUM","Sheet1!K34","","",,"operation_rejected","0x800A03EC"
"SHEET","Sheet1!K35","=SHEET(1)","#N/A","-2146826246","recognized_or_runtime_error",
"SHEETS","Sheet1!K36","=SHEETS(1)","#N/A","-2146826246","recognized_or_runtime_error",
"SIGN","Sheet1!K37","=SIGN(1)","1","1","recognized_or_runtime_error",
"SIN","Sheet1!K38","=SIN(1)","0.841471","0.8414709848078965","recognized_or_runtime_error",
"SINH","Sheet1!K39","=SINH(1)","1.175201","1.1752011936438014","recognized_or_runtime_error",
"SKEW","Sheet1!K40","=SKEW(1)","#DIV/0!","-2146826281","recognized_or_runtime_error",
"SKEW.P","Sheet1!L1","=SKEW.P(1)","#DIV/0!","-2146826281","recognized_or_runtime_error",
"SLN","Sheet1!L2","","",,"operation_rejected","0x800A03EC"
"SLOPE","Sheet1!L3","","",,"operation_rejected","0x800A03EC"
"SMALL","Sheet1!L4","","",,"operation_rejected","0x800A03EC"
"SORT","Sheet1!L5","=SORT(1)","1","1","recognized_or_runtime_error",
"SORTBY","Sheet1!L6","","",,"operation_rejected","0x800A03EC"
"SQRT","Sheet1!L7","=SQRT(1)","1","1","recognized_or_runtime_error",
"SQRTPI","Sheet1!L8","=SQRTPI(1)","1.772454","1.7724538509055159","recognized_or_runtime_error",
"STANDARDIZE","Sheet1!L9","","",,"operation_rejected","0x800A03EC"
"STDEV","Sheet1!L10","=STDEV(1)","#DIV/0!","-2146826281","recognized_or_runtime_error",
"STDEV.P","Sheet1!L11","=STDEV.P(1)","0","0","recognized_or_runtime_error",
"STDEV.S","Sheet1!L12","=STDEV.S(1)","#DIV/0!","-2146826281","recognized_or_runtime_error",
"STDEVA","Sheet1!L13","=STDEVA(1)","#DIV/0!","-2146826281","recognized_or_runtime_error",
"STDEVP","Sheet1!L14","=STDEVP(1)","0","0","recognized_or_runtime_error",
"STDEVPA","Sheet1!L15","=STDEVPA(1)","0","0","recognized_or_runtime_error",
"STEYX","Sheet1!L16","","",,"operation_rejected","0x800A03EC"
"STOCKHISTORY","Sheet1!L17","","",,"operation_rejected","0x800A03EC"
"SUBSTITUTE","Sheet1!L18","","",,"operation_rejected","0x800A03EC"
"SUBTOTAL","Sheet1!L19","","",,"operation_rejected","0x800A03EC"
"SUM","Sheet1!L20","=SUM(1)","1","1","recognized_or_runtime_error",
"SUMIF","Sheet1!L21","","",,"operation_rejected","0x800A03EC"
"SUMIFS","Sheet1!L22","","",,"operation_rejected","0x800A03EC"
"SUMPRODUCT","Sheet1!L23","=SUMPRODUCT(1)","1","1","recognized_or_runtime_error",
"SUMSQ","Sheet1!L24","=SUMSQ(1)","1","1","recognized_or_runtime_error",
"SUMX2MY2","Sheet1!L25","","",,"operation_rejected","0x800A03EC"
"SUMX2PY2","Sheet1!L26","","",,"operation_rejected","0x800A03EC"
"SUMXMY2","Sheet1!L27","","",,"operation_rejected","0x800A03EC"
"SWITCH","Sheet1!L28","","",,"operation_rejected","0x800A03EC"
"SYD","Sheet1!L29","","",,"operation_rejected","0x800A03EC"
"T","Sheet1!L30","=T(1)","","","recognized_or_runtime_error",
"T.DIST","Sheet1!L31","","",,"operation_rejected","0x800A03EC"
"T.DIST.2T","Sheet1!L32","","",,"operation_rejected","0x800A03EC"
"T.DIST.RT","Sheet1!L33","","",,"operation_rejected","0x800A03EC"
"T.INV","Sheet1!L34","","",,"operation_rejected","0x800A03EC"
"T.INV.2T","Sheet1!L35","","",,"operation_rejected","0x800A03EC"
"T.TEST","Sheet1!L36","","",,"operation_rejected","0x800A03EC"
"TAKE","Sheet1!L37","","",,"operation_rejected","0x800A03EC"
"TAN","Sheet1!L38","=TAN(1)","1.557408","1.5574077246549023","recognized_or_runtime_error",
"TANH","Sheet1!L39","=TANH(1)","0.761594","0.7615941559557649","recognized_or_runtime_error",
"TBILLEQ","Sheet1!L40","","",,"operation_rejected","0x800A03EC"
"TBILLPRICE","Sheet1!M1","","",,"operation_rejected","0x800A03EC"
"TBILLYIELD","Sheet1!M2","","",,"operation_rejected","0x800A03EC"
"TDIST","Sheet1!M3","","",,"operation_rejected","0x800A03EC"
"TEXT","Sheet1!M4","","",,"operation_rejected","0x800A03EC"
"TEXTAFTER","Sheet1!M5","","",,"operation_rejected","0x800A03EC"
"TEXTBEFORE","Sheet1!M6","","",,"operation_rejected","0x800A03EC"
"TEXTJOIN","Sheet1!M7","","",,"operation_rejected","0x800A03EC"
"TEXTSPLIT","Sheet1!M8","","",,"operation_rejected","0x800A03EC"
"TIME","Sheet1!M9","","",,"operation_rejected","0x800A03EC"
"TIMEVALUE","Sheet1!M10","=TIMEVALUE(1)","#VALUE!","-2146826273","recognized_or_runtime_error",
"TINV","Sheet1!M11","","",,"operation_rejected","0x800A03EC"
"TOCOL","Sheet1!M12","=TOCOL(1)","1","1","recognized_or_runtime_error",
"TODAY","Sheet1!M13","","",,"operation_rejected","0x800A03EC"
"TOROW","Sheet1!M14","=TOROW(1)","1","1","recognized_or_runtime_error",
"TRANSLATE","Sheet1!M15","=TRANSLATE(1)","1","1","recognized_or_runtime_error",
"TRANSPOSE","Sheet1!M16","=TRANSPOSE(1)","1","1","recognized_or_runtime_error",
"TREND","Sheet1!M17","=TREND(1)","1","1","recognized_or_runtime_error",
"TRIM","Sheet1!M18","=TRIM(1)","1","1","recognized_or_runtime_error",
"TRIMMEAN","Sheet1!M19","","",,"operation_rejected","0x800A03EC"
"TRIMRANGE","Sheet1!M20","=TRIMRANGE(1)","1","1","recognized_or_runtime_error",
"TRUE","Sheet1!M21","","",,"operation_rejected","0x800A03EC"
"TRUNC","Sheet1!M22","=TRUNC(1)","1","1","recognized_or_runtime_error",
"TTEST","Sheet1!M23","","",,"operation_rejected","0x800A03EC"
"TYPE","Sheet1!M24","=TYPE(1)","1","1","recognized_or_runtime_error",
"UNICHAR","Sheet1!M25","=UNICHAR(1)","","","recognized_or_runtime_error",
"UNICODE","Sheet1!M26","=UNICODE(1)","49","49","recognized_or_runtime_error",
"UNIQUE","Sheet1!M27","=UNIQUE(1)","1","1","recognized_or_runtime_error",
"UPPER","Sheet1!M28","=UPPER(1)","1","1","recognized_or_runtime_error",
"VALUE","Sheet1!M29","=VALUE(1)","1","1","recognized_or_runtime_error",
"VALUETOTEXT","Sheet1!M30","=VALUETOTEXT(1)","1","1","recognized_or_runtime_error",
"VAR","Sheet1!M31","=VAR(1)","#DIV/0!","-2146826281","recognized_or_runtime_error",
"VAR.P","Sheet1!M32","=VAR.P(1)","0","0","recognized_or_runtime_error",
"VAR.S","Sheet1!M33","=VAR.S(1)","#DIV/0!","-2146826281","recognized_or_runtime_error",
"VARA","Sheet1!M34","=VARA(1)","#DIV/0!","-2146826281","recognized_or_runtime_error",
"VARP","Sheet1!M35","=VARP(1)","0","0","recognized_or_runtime_error",
"VARPA","Sheet1!M36","=VARPA(1)","0","0","recognized_or_runtime_error",
"VDB","Sheet1!M37","","",,"operation_rejected","0x800A03EC"
"VLOOKUP","Sheet1!M38","","",,"operation_rejected","0x800A03EC"
"VSTACK","Sheet1!M39","=VSTACK(1)","1","1","recognized_or_runtime_error",
"WEBSERVICE","Sheet1!M40","=WEBSERVICE(1)","#VALUE!","-2146826273","recognized_or_runtime_error",
"WEEKDAY","Sheet1!N1","=WEEKDAY(1)","1","1","recognized_or_runtime_error",
"WEEKNUM","Sheet1!N2","=WEEKNUM(1)","1","1","recognized_or_runtime_error",
"WEIBULL","Sheet1!N3","","",,"operation_rejected","0x800A03EC"
"WEIBULL.DIST","Sheet1!N4","","",,"operation_rejected","0x800A03EC"
"WORKDAY","Sheet1!N5","","",,"operation_rejected","0x800A03EC"
"WORKDAY.INTL","Sheet1!N6","","",,"operation_rejected","0x800A03EC"
"WRAPCOLS","Sheet1!N7","","",,"operation_rejected","0x800A03EC"
"WRAPROWS","Sheet1!N8","","",,"operation_rejected","0x800A03EC"
"XIRR","Sheet1!N9","","",,"operation_rejected","0x800A03EC"
"XLOOKUP","Sheet1!N10","","",,"operation_rejected","0x800A03EC"
"XMATCH","Sheet1!N11","","",,"operation_rejected","0x800A03EC"
"XNPV","Sheet1!N12","","",,"operation_rejected","0x800A03EC"
"XOR","Sheet1!N13","=XOR(1)","TRUE","True","recognized_or_runtime_error",
"YEAR","Sheet1!N14","=YEAR(1)","1900","1900","recognized_or_runtime_error",
"YEARFRAC","Sheet1!N15","","",,"operation_rejected","0x800A03EC"
"YIELD","Sheet1!N16","","",,"operation_rejected","0x800A03EC"
"YIELDDISC","Sheet1!N17","","",,"operation_rejected","0x800A03EC"
"YIELDMAT","Sheet1!N18","","",,"operation_rejected","0x800A03EC"
"Z.TEST","Sheet1!N19","","",,"operation_rejected","0x800A03EC"
"ZTEST","Sheet1!N20","","",,"operation_rejected","0x800A03EC"
