"run_id","task_id","scenario_id","artifact_ref","calc_mode_manifest","set_calc_mode_op_count","has_set_calc_mode_op","first_set_calc_mode_started_utc","last_set_calc_mode_finished_utc","run_exit_status"
"run-20260228-212857-72e380cd1","ECS-EB-028","SCN-EB028-REF-DOUBLECOLON-REJECT","outputs\formula_parse_wave1\evidence\SCN-EB028-REF-DOUBLECOLON-REJECT\run_manifest.json","automatic","1","true","2026-02-28T21:28:59.8385646Z","2026-02-28T21:29:00.1228627Z","success"
"run-20260228-212854-dd3da9cda","ECS-EB-028","SCN-EB028-REF-INTERSECTION-ACCEPT","outputs\formula_parse_wave1\evidence\SCN-EB028-REF-INTERSECTION-ACCEPT\run_manifest.json","automatic","1","true","2026-02-28T21:28:57.2392941Z","2026-02-28T21:28:57.5339706Z","success"
"run-20260228-212845-e358bd697","ECS-EB-028","SCN-EB028-REF-RANGE-ACCEPT","outputs\formula_parse_wave1\evidence\SCN-EB028-REF-RANGE-ACCEPT\run_manifest.json","automatic","1","true","2026-02-28T21:28:50.5802242Z","2026-02-28T21:28:51.0960181Z","success"
"run-20260228-212851-2c1320689","ECS-EB-028","SCN-EB028-REF-UNION-ACCEPT","outputs\formula_parse_wave1\evidence\SCN-EB028-REF-UNION-ACCEPT\run_manifest.json","automatic","1","true","2026-02-28T21:28:54.3150905Z","2026-02-28T21:28:54.5589468Z","success"
"run-20260228-212937-ca2ba7b29","ECS-EB-028","SCN-EB028-TABLE-BRACKET-REJECT","outputs\formula_parse_wave1\evidence\SCN-EB028-TABLE-BRACKET-REJECT\run_manifest.json","automatic","1","true","2026-02-28T21:29:40.4220957Z","2026-02-28T21:29:40.7115512Z","success"
"run-20260228-212931-2a7fea020","ECS-EB-028","SCN-EB028-TABLE-COL-ACCEPT","outputs\formula_parse_wave1\evidence\SCN-EB028-TABLE-COL-ACCEPT\run_manifest.json","automatic","1","true","2026-02-28T21:29:33.7781257Z","2026-02-28T21:29:33.9620581Z","success"
"run-20260228-212934-6fcae472d","ECS-EB-028","SCN-EB028-TABLE-THISROW-ACCEPT","outputs\formula_parse_wave1\evidence\SCN-EB028-TABLE-THISROW-ACCEPT\run_manifest.json","automatic","1","true","2026-02-28T21:29:36.6699398Z","2026-02-28T21:29:36.9136772Z","success"
"run-20260228-212940-309a66f94","ECS-EB-029","SCN-EB029-NORM-CASE-WHITESPACE","outputs\formula_parse_wave1\evidence\SCN-EB029-NORM-CASE-WHITESPACE\run_manifest.json","automatic","1","true","2026-02-28T21:29:43.4957989Z","2026-02-28T21:29:43.7232929Z","success"
"run-20260228-212946-e8779c161","ECS-EB-029","SCN-EB029-NORM-TABLE-LOWERCASE","outputs\formula_parse_wave1\evidence\SCN-EB029-NORM-TABLE-LOWERCASE\run_manifest.json","automatic","1","true","2026-02-28T21:29:48.3391189Z","2026-02-28T21:29:48.5555378Z","success"
"run-20260228-212951-2b823c6ab","ECS-EB-030","SCN-EB030-AMBIG-DOUBLE-COMMA","outputs\formula_parse_wave1\evidence\SCN-EB030-AMBIG-DOUBLE-COMMA\run_manifest.json","automatic","1","true","2026-02-28T21:29:54.2411867Z","2026-02-28T21:29:54.5403738Z","success"
"run-20260228-212948-f08fbc29c","ECS-EB-030","SCN-EB030-AMBIG-INTERSECTION-SINGLE","outputs\formula_parse_wave1\evidence\SCN-EB030-AMBIG-INTERSECTION-SINGLE\run_manifest.json","automatic","1","true","2026-02-28T21:29:51.0016516Z","2026-02-28T21:29:51.3495282Z","success"
"run-20260228-212927-919ab7944","ECS-EB-030","SCN-EB030-DOTFIELD-PROBE","outputs\formula_parse_wave1\evidence\SCN-EB030-DOTFIELD-PROBE\run_manifest.json","automatic","1","true","2026-02-28T21:29:30.9902904Z","2026-02-28T21:29:31.2666020Z","success"
"run-20260228-215254-41181df5c","ECS-EB-031","SCN-EB031-CF-OVERLAP-STOP","outputs\cf_wave1\evidence\SCN-EB031-CF-OVERLAP-STOP\run_manifest.json","automatic","1","true","2026-02-28T21:52:56.8523447Z","2026-02-28T21:52:57.0320160Z","success"
"run-20260228-215257-bc8c2f58f","ECS-EB-032","SCN-EB032-CF-PRIORITY-TRANSITION","outputs\cf_wave1\evidence\SCN-EB032-CF-PRIORITY-TRANSITION\run_manifest.json","automatic","1","true","2026-02-28T21:52:59.1253303Z","2026-02-28T21:52:59.3293131Z","success"
"run-20260228-215301-df1538f75","ECS-EB-033","SCN-EB033-CF-TABLE-SPILL","outputs\cf_wave1\evidence\SCN-EB033-CF-TABLE-SPILL\run_manifest.json","automatic","1","true","2026-02-28T21:53:03.5674815Z","2026-02-28T21:53:03.8274733Z","success"
