run_id,stage,status,start_utc,end_utc,artifact,notes
20260222-082019-run1-master-landscape,init,completed,2026-02-22T06:20:41.1950303Z,2026-02-22T06:20:41.1950303Z,research/runs/20260222-082019-run1-master-landscape/inputs/source_hashes.csv,inputs prepared and hashed
20260222-082019-run1-master-landscape,external_report_ingest,completed,2026-02-22T13:10:56.0355706Z,2026-02-22T13:10:56.0355706Z,research/runs/20260222-082019-run1-master-landscape/outputs/deep-research-report.md,external ChatGPT Deep Research run1 report added
