"scenario_id","task_id","initial_value","initial_display_text","final_value","final_display_text","first_set_date_system_value","first_set_date_system_display","last_set_date_system_value","last_set_date_system_display","value_changed_any","display_changed_any","final_date_system","classification","evidence_path","status"
"SCN-EB016-CROSSWB-COPY-NOW-FORMULA","ECS-EB-016","","","44619.8873684028","2026-02-28 21:17:49","","","44619.8873684028","2026-02-28 21:17:49","true","true","1904","crosswb_now_formula_toggle_observed","evidence/SCN-EB016-CROSSWB-COPY-NOW-FORMULA","completed"
"SCN-EB016-CROSSWB-COPY-SERIAL-VALUE","ECS-EB-016","","","45292","2028-01-02","","","45292","2028-01-02","true","true","1904","crosswb_serial_value_display_shift_observed","evidence/SCN-EB016-CROSSWB-COPY-SERIAL-VALUE","completed"
"SCN-EB016-CROSSWB-COPY-TODAY-FORMULA","ECS-EB-016","","","44619","2026-02-28","","","44619","2026-02-28","true","true","1904","crosswb_today_formula_toggle_observed","evidence/SCN-EB016-CROSSWB-COPY-TODAY-FORMULA","completed"
"SCN-EB016-NOW-TOGGLE-1900-1904","ECS-EB-016","46081.8873101852","2026-02-28 21:17:44","44619.8873271991","2026-02-28 21:17:45","46081.8873128472","2026-02-28 21:17:44","44619.8873270833","2026-02-28 21:17:45","true","true","1904","now_date_system_toggle_observed","evidence/SCN-EB016-NOW-TOGGLE-1900-1904","completed"
"SCN-EB016-TODAY-TOGGLE-1900-1904","ECS-EB-016","44619","2026-02-28","44619","2026-02-28","46081","2026-02-28","44619","2026-02-28","true","false","1904","today_date_system_toggle_observed","evidence/SCN-EB016-TODAY-TOGGLE-1900-1904","completed"
