"scenario_id","task_id","target_locale","execution_locale","formula","input_text","observed_value","observed_display","interpretation","result_status","evidence_bundle_ref","notes"
"SCN-EB023-VALUE-LOCALE-COMMA","ECS-EB-023","nl-NL/de-DE","en-ZA","=VALUE(A1)","1,5","-2146826273","#VALUE!","error_observed_under_execution_locale","completed_with_locale_caveat","research\runs\20260228-180047-excel-compat-empirical-pass-01\outputs\pilot_wave1\evidence\SCN-EB023-VALUE-LOCALE-COMMA","Executed on en-ZA. Target-locale behavior remains pending dedicated locale runs."
"SCN-EB023-DATEVALUE-LOCALE-TEXT","ECS-EB-023","locale-dependent date order","en-ZA","=DATEVALUE(A1)","01/02/2025","-2146826273","#VALUE!","error_observed_under_execution_locale","completed_with_locale_caveat","research\runs\20260228-180047-excel-compat-empirical-pass-01\outputs\pilot_wave1\evidence\SCN-EB023-DATEVALUE-LOCALE-TEXT","Executed on en-ZA. Target-locale behavior remains pending dedicated locale runs."
