2018-08-22,15408ff,v0.11.119.00+49
2018-08-10,0a8fbb3,v0.11.117.19+55
2018-08-07,fd3903c,v0.11.117.17+10
2018-05-23,ef1749a,v0.11.117.08+54
2018-05-10,50da6aa,v0.11.117.06+24
2018-04-19,1278d86,v0.11.117.03+59
2018-03-29,88f5014,v0.11.117.00+101
2018-03-19,029a821,v0.11.116.17+187
2018-03-16,86b5e26,v0.11.116.17+187
2018-03-06,1117a01,v0.10.116.16+14
2018-02-27,1de392a,v0.10.116.15+15
2018-02-26,9e8a191,update dep on migrate-parsetree to new version
2018-01-31,e326f1a,v0.10.116.11+46
2018-01-11,2f83c8b,v0.10.116.08+75
2018-01-08,82e50db,Merge pull request #5 from kuy/patch-1
2017-12-05,743f9cf,v0.9.116.03
2017-11-16,82f493c,v0.9.116.00+32
2017-11-02,7db28da,v0.9.115.24+69
2017-09-14,82a8963,v0.9.115.17+70
2017-08-30,1d94c91,v0.9.115.15+07
2017-06-01,2a2fc0f,v0.9.115.01+41
2017-05-17,d6df006,v0.9.115.00+14
2017-04-19,fef049b,v0.9.114.41+37
2017-04-06,7bba5bc,v0.9.114.39
2017-04-03,1e2a335,Fix typo
2017-03-31,80422b8,Update README.org (#3)
2017-03-28,db3149b,v0.9.114.35+03
2017-03-13,0654b7f,114.35+03
2017-03-07,c968aec,114.35+03
2017-03-07,bb01a16,114.35+03
2017-03-06,e7f1075,114.35+03
2017-03-03,585f4ae,114.34+110
2017-03-03,c8e3058,114.34+110
2017-03-02,b6bbb80,114.34+110
2017-03-02,9b32d68,114.34+110
2017-03-01,c6e6e9c,114.34+58
2017-02-27,503180a,114.33+30
2017-02-21,b29be0c,114.33+05
2017-02-06,12cad8e,114.30+114
2017-01-26,d6ce8eb,114.29+68
2017-01-23,5c936cc,114.28+91
2016-12-15,1e60f6c,114.20+69
2016-09-16,865605f,114.10+84
2016-09-02,fd7408e,114.08+89
2016-08-31,a1d3ba2,114.08+63
2016-08-30,04245b0,114.08+30
2016-08-19,69fe9b6,114.06+90
2016-08-12,dcca93f,114.05+64
2016-08-05,d6f8d10,114.04+57
2016-08-03,38da4fe,114.04+40
2016-07-28,fbadeb9,114.03+54
2016-07-19,efa05f6,114.02+05
2016-06-16,0bca9c3,113.47+68
2016-05-30,23b60d6,113.44+128
2016-05-20,c44a2f5,113.43+70
2016-05-20,30e0972,113.43+70
2016-04-28,c6f231a,fix constraint in opam file
2016-04-27,42a606c,fix call to `ocaml install.ml` in Makefile
2016-04-26,7a4ab68,113.33.03
2016-03-09,1a38de0,113.33.00
2016-01-12,6db4046,113.24.00
2015-07-30,8b1df54,113.00.00
2015-08-07,3784c14,Create README.md
2015-06-29,78bbbd6,public release stuff
2015-06-26,4829c76,112.35.00
