"case_id","scenario_id","probe_id","task_id","probe_kind","target_rules","fixture_profile","manual_prep_required","manual_prep_note","formula_input","target_cell","expected_outcome_class","expected_result_hint","observed_acceptance","result_class","run_exit_status","edit_operation_status","edit_operation_message","linked_data_operation_status","linked_data_operation_message","support_workbook_operation_status","support_workbook_operation_message","stored_formula_initial","stored_formula_final","normalization_changed","final_value","final_display_text","final_number_format","step_count","evidence_exists","evidence_bundle_ref","notes"
"FPCP2-021","FMLP2-021","P2-FML-006","ECS-EB-036","external_reference","FML-R-006","external_workbook_present","False","","='[Book2.xlsx]Sheet1'!A1","Sheet1!D1","probe","","accepted","probe","success","ok","","","","ok","","0","=[Book2.xlsx]Sheet1!A1","true","77","77","General","5","True","evidence\FMLP2-021","External workbook reference grammar baseline."
"FPCP2-022","FMLP2-022","P2-FML-006","ECS-EB-036","external_reference","FML-R-006","external_workbook_missing","False","","='[MissingBook.xlsx]Sheet1'!A1","Sheet1!D1","probe","","accepted","probe","success","ok","","","","","","0","=[MissingBook.xlsx]Sheet1!A1","true","-2146826265","#REF!","General","4","True","evidence\FMLP2-022","Missing external workbook behavior."
