"function_name","target"
"FISHERINV","Sheet1!F18"
"FIXED","Sheet1!F19"
"FLOOR","Sheet1!F20"
"FLOOR.MATH","Sheet1!F21"
"FLOOR.PRECISE","Sheet1!F22"
"FORMULATEXT","Sheet1!F23"
"FREQUENCY","Sheet1!F24"
"FTEST","Sheet1!F25"
"FV","Sheet1!F26"
"FVSCHEDULE","Sheet1!F27"
"GAMMA","Sheet1!F28"
"GAMMA.DIST","Sheet1!F29"
"GAMMA.INV","Sheet1!F30"
"GAMMADIST","Sheet1!F31"
"GAMMAINV","Sheet1!F32"
"GAMMALN","Sheet1!F33"
"GAMMALN.PRECISE","Sheet1!F34"
"GAUSS","Sheet1!F35"
"GCD","Sheet1!F36"
"GEOMEAN","Sheet1!F37"
"GESTEP","Sheet1!F38"
"GETPIVOTDATA","Sheet1!F39"
"GROUPBY","Sheet1!F40"
"GROWTH","Sheet1!G1"
"HARMEAN","Sheet1!G2"
"HEX2BIN","Sheet1!G3"
"HEX2DEC","Sheet1!G4"
"HEX2OCT","Sheet1!G5"
"HLOOKUP","Sheet1!G6"
"HOUR","Sheet1!G7"
"HSTACK","Sheet1!G8"
"HYPERLINK","Sheet1!G9"
"HYPGEOM.DIST","Sheet1!G10"
"HYPGEOMDIST","Sheet1!G11"
"IF","Sheet1!G12"
"IFERROR","Sheet1!G13"
"IFNA","Sheet1!G14"
"IFS","Sheet1!G15"
"IMABS","Sheet1!G16"
"IMAGE","Sheet1!G17"
"IMAGINARY","Sheet1!G18"
"IMARGUMENT","Sheet1!G19"
"IMCONJUGATE","Sheet1!G20"
"IMCOS","Sheet1!G21"
"IMCOSH","Sheet1!G22"
"IMCOT","Sheet1!G23"
"IMCSC","Sheet1!G24"
"IMCSCH","Sheet1!G25"
"IMDIV","Sheet1!G26"
"IMEXP","Sheet1!G27"
"IMLN","Sheet1!G28"
"IMLOG10","Sheet1!G29"
"IMLOG2","Sheet1!G30"
"IMPOWER","Sheet1!G31"
"IMPRODUCT","Sheet1!G32"
"IMREAL","Sheet1!G33"
"IMSEC","Sheet1!G34"
"IMSECH","Sheet1!G35"
"IMSIN","Sheet1!G36"
"IMSINH","Sheet1!G37"
"IMSQRT","Sheet1!G38"
"IMSUB","Sheet1!G39"
"IMSUM","Sheet1!G40"
"IMTAN","Sheet1!H1"
"INDEX","Sheet1!H2"
"INDIRECT","Sheet1!H3"
"INFO","Sheet1!H4"
"INT","Sheet1!H5"
"INTERCEPT","Sheet1!H6"
"INTRATE","Sheet1!H7"
"IPMT","Sheet1!H8"
"IRR","Sheet1!H9"
"ISEVEN","Sheet1!H10"
"ISFORMULA","Sheet1!H11"
"ISO.CEILING","Sheet1!H12"
"ISOMITTED","Sheet1!H13"
"ISOWEEKNUM","Sheet1!H14"
"ISPMT","Sheet1!H15"
"JIS","Sheet1!H16"
"KURT","Sheet1!H17"
"LAMBDA","Sheet1!H18"
"LARGE","Sheet1!H19"
"LCM","Sheet1!H20"
"LEFT, LEFTB","Sheet1!H21"
"LEN, LENB","Sheet1!H22"
"LET","Sheet1!H23"
"LINEST","Sheet1!H24"
"LN","Sheet1!H25"
"LOG","Sheet1!H26"
"LOG10","Sheet1!H27"
"LOGEST","Sheet1!H28"
"LOGINV","Sheet1!H29"
"LOGNORM.DIST","Sheet1!H30"
"LOGNORM.INV","Sheet1!H31"
"LOGNORMDIST","Sheet1!H32"
"LOOKUP","Sheet1!H33"
"LOWER","Sheet1!H34"
"MAKEARRAY","Sheet1!H35"
"MAP","Sheet1!H36"
"MATCH","Sheet1!H37"
"MAX","Sheet1!H38"
"MAXA","Sheet1!H39"
"MAXIFS","Sheet1!H40"
"MDETERM","Sheet1!I1"
"MDURATION","Sheet1!I2"
"MEDIAN","Sheet1!I3"
"MID, MIDB","Sheet1!I4"
"MIN","Sheet1!I5"
"MINA","Sheet1!I6"
"MINIFS","Sheet1!I7"
"MINUTE","Sheet1!I8"
"MINVERSE","Sheet1!I9"
"MIRR","Sheet1!I10"
"MMULT","Sheet1!I11"
"MOD","Sheet1!I12"
"MODE","Sheet1!I13"
"MODE.MULT","Sheet1!I14"
"MODE.SNGL","Sheet1!I15"
"MONTH","Sheet1!I16"
"MROUND","Sheet1!I17"
"MULTINOMIAL","Sheet1!I18"
"MUNIT","Sheet1!I19"
"N","Sheet1!I20"
"NA","Sheet1!I21"
"NEGBINOM.DIST","Sheet1!I22"
"NEGBINOMDIST","Sheet1!I23"
"NETWORKDAYS","Sheet1!I24"
"NETWORKDAYS.INTL","Sheet1!I25"
"NOMINAL","Sheet1!I26"
"NORM.DIST","Sheet1!I27"
"NORM.INV","Sheet1!I28"
"NORM.S.DIST","Sheet1!I29"
"NORM.S.INV","Sheet1!I30"
"NORMDIST","Sheet1!I31"
"NORMINV","Sheet1!I32"
"NORMSDIST","Sheet1!I33"
"NORMSINV","Sheet1!I34"
"NOT","Sheet1!I35"
"NOW","Sheet1!I36"
"NPER","Sheet1!I37"
"NPV","Sheet1!I38"
"NUMBERVALUE","Sheet1!I39"
"OCT2BIN","Sheet1!I40"
"OCT2DEC","Sheet1!J1"
"OCT2HEX","Sheet1!J2"
"ODD","Sheet1!J3"
"ODDFPRICE","Sheet1!J4"
"ODDFYIELD","Sheet1!J5"
"ODDLPRICE","Sheet1!J6"
"ODDLYIELD","Sheet1!J7"
"OFFSET","Sheet1!J8"
"OR","Sheet1!J9"
"PDURATION","Sheet1!J10"
"PEARSON","Sheet1!J11"
"PERCENTILE","Sheet1!J12"
"PERCENTILE.EXC","Sheet1!J13"
"PERCENTILE.INC","Sheet1!J14"
"PERCENTOF","Sheet1!J15"
"PERCENTRANK","Sheet1!J16"
"PERCENTRANK.EXC","Sheet1!J17"
"PERCENTRANK.INC","Sheet1!J18"
"PERMUT","Sheet1!J19"
"PERMUTATIONA","Sheet1!J20"
"PHI","Sheet1!J21"
"PHONETIC","Sheet1!J22"
"PI","Sheet1!J23"
"PIVOTBY","Sheet1!J24"
"PMT","Sheet1!J25"
"POISSON","Sheet1!J26"
"POISSON.DIST","Sheet1!J27"
"POWER","Sheet1!J28"
"PPMT","Sheet1!J29"
"PRICE","Sheet1!J30"
"PRICEDISC","Sheet1!J31"
"PRICEMAT","Sheet1!J32"
"PROB","Sheet1!J33"
"PRODUCT","Sheet1!J34"
"PROPER","Sheet1!J35"
"PV","Sheet1!J36"
"QUARTILE","Sheet1!J37"
"QUARTILE.EXC","Sheet1!J38"
"QUARTILE.INC","Sheet1!J39"
"QUOTIENT","Sheet1!J40"
"RADIANS","Sheet1!K1"
"RAND","Sheet1!K2"
"RANDARRA","Sheet1!K3"
"RANDARRAY","Sheet1!K4"
"RANDBETWEEN","Sheet1!K5"
"RANK","Sheet1!K6"
"RANK.AVG","Sheet1!K7"
"RANK.EQ","Sheet1!K8"
"RATE","Sheet1!K9"
"RECEIVED","Sheet1!K10"
"REDUCE","Sheet1!K11"
"REGEXEXTRACT","Sheet1!K12"
"REGEXREPLACE","Sheet1!K13"
"REGEXTEST","Sheet1!K14"
"REGISTER.ID","Sheet1!K15"
"REPLACE, REPLACEB","Sheet1!K16"
"REPT","Sheet1!K17"
"RIGHT, RIGHTB","Sheet1!K18"
"ROMAN","Sheet1!K19"
"ROUND","Sheet1!K20"
"ROUNDDOWN","Sheet1!K21"
"ROUNDUP","Sheet1!K22"
"ROW","Sheet1!K23"
"ROWS","Sheet1!K24"
"RRI","Sheet1!K25"
"RSQ","Sheet1!K26"
"RTD","Sheet1!K27"
"SCAN","Sheet1!K28"
"SEARCH, SEARCHB","Sheet1!K29"
"SEC","Sheet1!K30"
"SECH","Sheet1!K31"
"SECOND","Sheet1!K32"
"SEQUENCE","Sheet1!K33"
"SERIESSUM","Sheet1!K34"
"SHEET","Sheet1!K35"
"SHEETS","Sheet1!K36"
"SIGN","Sheet1!K37"
"SIN","Sheet1!K38"
"SINH","Sheet1!K39"
"SKEW","Sheet1!K40"
"SKEW.P","Sheet1!L1"
"SLN","Sheet1!L2"
"SLOPE","Sheet1!L3"
"SMALL","Sheet1!L4"
"SORT","Sheet1!L5"
"SORTBY","Sheet1!L6"
"SQRT","Sheet1!L7"
"SQRTPI","Sheet1!L8"
"STANDARDIZE","Sheet1!L9"
"STDEV","Sheet1!L10"
"STDEV.P","Sheet1!L11"
"STDEV.S","Sheet1!L12"
"STDEVA","Sheet1!L13"
"STDEVP","Sheet1!L14"
"STDEVPA","Sheet1!L15"
"STEYX","Sheet1!L16"
"STOCKHISTORY","Sheet1!L17"
"SUBSTITUTE","Sheet1!L18"
"SUBTOTAL","Sheet1!L19"
"SUM","Sheet1!L20"
"SUMIF","Sheet1!L21"
"SUMIFS","Sheet1!L22"
"SUMPRODUCT","Sheet1!L23"
"SUMSQ","Sheet1!L24"
"SUMX2MY2","Sheet1!L25"
"SUMX2PY2","Sheet1!L26"
"SUMXMY2","Sheet1!L27"
"SWITCH","Sheet1!L28"
"SYD","Sheet1!L29"
"T","Sheet1!L30"
"T.DIST","Sheet1!L31"
