"run_id","source_scope","topic_group","source_id","source_url","local_path","kind","status","note","downloaded_utc","size_bytes","sha256"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-ODRAWXML/%5bMS-ODRAWXML%5d.pdf","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-ODRAWXML\[MS-ODRAWXML].pdf","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:35:29.9380164Z","10150622","b2ff9f11c5251acdaa4de103575932820433fb9d1bc67586323106c0bdf3a0fb"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OE376/%5bMS-OE376%5d-171212.pdf","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OE376\[MS-OE376]-171212.pdf","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:35:36.9636849Z","18205247","fc69605ebed052a18f28127177d247dea90810207bbec475f3753f3b948bcf9b"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OE376/%5bMS-OE376%5d-220816.docx","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OE376\[MS-OE376]-220816.docx","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:35:39.7277946Z","1753616","823374c771b69d70cf4266ac8f6468e3b8079c5018fde4287ad39fd4b2b01974"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OE376/%5bMS-OE376%5d.pdf","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OE376\[MS-OE376].pdf","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:35:47.0326289Z","18340020","88e9302395e9aa67e7feaf2dbac022dfd6abfadb44fa91066e10ab1e51cdac5a"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OEXTXML/%5bMS-OEXTXML%5d-240416.pdf","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OEXTXML\[MS-OEXTXML]-240416.pdf","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:35:49.4541213Z","715398","4061481fde314721d8bb50b6a907444348eef54c46dbd8a2b7d47034da6bc195"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OEXTXML/%5bMS-OEXTXML%5d-240820.docx","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OEXTXML\[MS-OEXTXML]-240820.docx","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:35:50.8195970Z","43272","5f34b56d964c642ab982581d762182945fef6bf177fc9bc41d926b45816ab05d"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OEXTXML/%5bMS-OEXTXML%5d.pdf","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OEXTXML\[MS-OEXTXML].pdf","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:35:53.0619829Z","716594","77aaed44d1e4bbe83afef2f385e7543ccb24a8043d4b43ba92fe34266e9c8dc7"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OFFMACRO/%5bMS-OFFMACRO%5d-160623.pdf","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OFFMACRO\[MS-OFFMACRO]-160623.pdf","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:35:55.6809499Z","1400221","38e3677cd32bb00743765c37ce48931867173cd601bf90dd704153f127de92c9"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OFFMACRO/%5bMS-OFFMACRO%5d-160914.docx","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OFFMACRO\[MS-OFFMACRO]-160914.docx","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:35:57.3382534Z","76130","a38709c129b4fdcd8341a637bec8f4a74dcb5ac095fda3afbd20bf8895c196ee"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OFFMACRO/%5bMS-OFFMACRO%5d.pdf","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OFFMACRO\[MS-OFFMACRO].pdf","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:35:59.9378849Z","1401583","d7c263fc2e902f1cb9d10ff1ad4311bcb34331864cd0c3c8dcbd2589363e4e10"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OFFMACRO2/%5bMS-OFFMACRO2%5d-240416.pdf","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OFFMACRO2\[MS-OFFMACRO2]-240416.pdf","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:36:02.5682749Z","1186517","7dff2f49505b1c811f35ddfa0b4edea06ba25d43bd57240526ad707a0aa81579"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OFFMACRO2/%5bMS-OFFMACRO2%5d-240820.docx","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OFFMACRO2\[MS-OFFMACRO2]-240820.docx","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:36:04.1805971Z","70211","0a8f806eef4339119de77d8cb0094dc1333c6eac0a47be425b97b4b21330f67c"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OFFMACRO2/%5bMS-OFFMACRO2%5d.pdf","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OFFMACRO2\[MS-OFFMACRO2].pdf","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:36:06.8013931Z","1188040","4b9d55c76dac9553d91f6b65e34bbe7c90d1c7455f130202d5793697332441b0"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OI29500/%5bMS-OI29500%5d-241112.pdf","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OI29500\[MS-OI29500]-241112.pdf","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:36:13.9215520Z","17394815","57f11b05f053fc512c770516b6461576964b7dac8275e66991ffb39718aa4c75"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OI29500/%5bMS-OI29500%5d-250218.docx","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OI29500\[MS-OI29500]-250218.docx","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:36:16.6148570Z","1206403","d35cbb01457cd06678e2263ba751811acb22cecc09634548142f6699026badb5"
