"index_id","function_name","tier","source_url","source_category","empirical_artifact_refs","empirical_ref_count","unresolved_count"
"FEI-057","TOROW","4","https://support.microsoft.com/en-us/office/torow-function-b90d0964-a7d9-44b7-816b-ffa5c2fe2289","Lookup and reference functions","","0","0"
"FEI-058","TRANSPOSE","4","https://support.microsoft.com/en-us/office/transpose-function-ed039415-ed8a-4a81-93e9-4b6dfac76027","Lookup and reference functions","","0","0"
"FEI-059","TRIMRANGE","4","https://support.microsoft.com/en-us/office/trimrange-function-d7812248-3bc5-4c6b-901c-1afa9564f999","Lookup and reference functions","","0","0"
"FEI-060","UNIQUE","4","https://support.microsoft.com/en-us/office/unique-function-c5ab87fd-30a3-4ce9-9d1a-40204fb85e1e","Our 10 featured functions","outputs\tier45_wave1\ECS-EB-018_dynamic_array_mixed_type_probe_wave1.csv","1","1"
"FEI-061","VSTACK","4","https://support.microsoft.com/en-us/office/vstack-function-a4b86897-be0f-48fc-adca-fcc10d795a9c","Lookup and reference functions","","0","0"
"FEI-062","WEBSERVICE","4","https://support.microsoft.com/en-us/office/webservice-function-0546a35a-ecc6-4739-aed7-c0b7ce1562c4","Web functions","outputs\tier45_wave1\ECS-EB-021_external_data_replay_probe_wave1.csv","1","1"
"FEI-063","WRAPCOLS","4","https://support.microsoft.com/en-us/office/wrapcols-function-d038b05a-57b7-4ee0-be94-ded0792511e2","Lookup and reference functions","","0","0"
"FEI-064","WRAPROWS","4","https://support.microsoft.com/en-us/office/wraprows-function-796825f3-975a-4cee-9c84-1bbddf60ade0","Lookup and reference functions","","0","0"
"FEI-065","XLOOKUP","4","https://support.microsoft.com/en-us/office/xlookup-function-b7fd680e-6d10-43e6-84f9-88eae8bf5929","Our 10 featured functions","","0","0"
"FEI-066","XMATCH","4","https://support.microsoft.com/en-us/office/xmatch-function-d966da31-7a6b-4a13-a1c6-5a33ed6a0312","Lookup and reference functions","","0","0"
